state,year,net in,net out,net total
Nebraska,2012,0.023650118616829377,0.02671754471806357,-0.0030674261012341927
Nevada,2012,0.045604488346151585,0.036821416761747015,0.00878307158440457
New Hampshire,2012,0.038560864892610236,0.029969253169556766,0.00859161172305347
New Jersey,2012,0.014844044235190267,0.02489733068294277,-0.010053286447752503
New Mexico,2012,0.026542333646349718,0.031037069587109525,-0.0044947359407598066
New York,2012,0.013954674707253503,0.020995374555477012,-0.00704069984822351
North Carolina,2012,0.028333518317015007,0.02497631486882053,0.0033572034481944776
North Dakota,2012,0.055394165006856684,0.035641022208139764,0.01975314279871692
Ohio,2012,0.01720519315773128,0.017511637166037226,-0.0003064440083059457
Oklahoma,2012,0.028964112748786585,0.027416241367273178,0.001547871381513407
Oregon,2012,0.030829832545467038,0.02826584241391789,0.0025639901315491487
Pennsylvania,2012,0.017062438707840535,0.018826919296917495,-0.0017644805890769596
Rhode Island,2012,0.032143327371610735,0.029574850612966854,0.0025684767586438804
South Carolina,2012,0.03356368092945512,0.027571334536722038,0.005992346392733085
South Dakota,2012,0.031704980959486116,0.02767781034054982,0.004027170618936295
Tennessee,2012,0.02776580136519606,0.02582745576632634,0.0019383455988697222
Texas,2012,0.01974782697945857,0.0158263428113971,0.00392148416806147
Utah,2012,0.03132129006501654,0.029554011921598868,0.0017672781434176742
Vermont,2012,0.03939060726447219,0.032689251631936235,0.006701355632535953
Virginia,2012,0.031000734782210233,0.029775769259382974,0.0012249655228272587
Washington,2012,0.031617003114691636,0.026801196906861897,0.004815806207829738
West Virginia,2012,0.025646007277207623,0.02584667268711111,-0.00020066540990348533
Wisconsin,2012,0.017522992391192784,0.017322631982168983,0.00020036040902380106
Wyoming,2012,0.05467288243285463,0.05666182587934133,-0.001988943446486695
Alabama,2013,0.02177275784640817,0.020426369659742597,0.0013463881866655723
Alaska,2013,0.04738049043496007,0.12751456902854855,-0.08013407859358848
Arizona,2013,0.03608939869137608,0.028418710631596372,0.007670688059779711
Arkansas,2013,0.024155146218312638,0.026351713873177734,-0.002196567654865096
California,2013,0.012818487505765622,0.015438183554765715,-0.0026196960490000934
Colorado,2013,0.039673938515700696,0.03241696256716589,0.007256975948534805
Connecticut,2013,0.024797085793016423,0.025839822438669915,-0.0010427366456534914
Delaware,2013,0.04025054019310194,0.027602706449211735,0.012647833743890204
District of Columbia,2013,0.07316329816899306,0.08976479726776128,-0.01660149909876822
Florida,2013,0.027366471200733995,0.022238889930620665,0.00512758127011333
Georgia,2013,0.028263726835981693,0.02754917521555267,0.0007145516204290214
Hawaii,2013,0.0418658157465865,0.043985211385486486,-0.0021193956388999846
Idaho,2013,0.038673963767333334,0.040208239701318864,-0.0015342759339855294
Illinois,2013,0.017550288772712832,0.02388823239281449,-0.00633794362010166
Indiana,2013,0.020564033796312126,0.020936844670749914,-0.00037281087443778727
Iowa,2013,0.02477375324817799,0.025459023197715095,-0.000685269949537104
Kansas,2013,0.031432265368393435,0.03304702633726652,-0.0016147609688730857
Kentucky,2013,0.02375203270930174,0.022835805806933538,0.0009162269023682036
Louisiana,2013,0.02011439653964696,0.02186677345188481,-0.0017523769122378512
Maine,2013,0.027953574873095483,0.022126134309624713,0.00582744056347077
Maryland,2013,0.027577108771697393,0.031424879921322944,-0.0038477711496255514
Massachusetts,2013,0.020415410938883827,0.023633247927395278,-0.0032178369885114515
Michigan,2013,0.014727066195398368,0.01711377912550593,-0.002386712930107563
Minnesota,2013,0.019580863971415768,0.022323387943599185,-0.0027425239721834173
Mississippi,2013,0.023188880102319395,0.024512474863122042,-0.0013235947608026474
Missouri,2013,0.026774486025491474,0.02336149559953706,0.0034129904259544153
Montana,2013,0.03991473689772715,0.03193260491816701,0.007982131979560138
Nebraska,2013,0.024881436865809323,0.026006807351940095,-0.0011253704861307716
Nevada,2013,0.04590723389903042,0.0371702001965282,0.008737033702502221
New Hampshire,2013,0.03422406783332749,0.035291441944023484,-0.001067374110695997
New Jersey,2013,0.015551112211156268,0.022961764478229004,-0.007410652267072736
New Mexico,2013,0.02758086293610346,0.03660740486781588,-0.009026541931712418
New York,2013,0.014000959450603886,0.02067745341173088,-0.006676493961126994
North Carolina,2013,0.028336413393151023,0.025586403843314162,0.0027500095498368612
North Dakota,2013,0.05443170435531978,0.042435605591454796,0.011996098763864982
Ohio,2013,0.016237378375262127,0.017663280711485343,-0.0014259023362232157
Oklahoma,2013,0.028739812301444605,0.02662246224087635,0.0021173500605682558
Oregon,2013,0.03699408674826707,0.029098754157476682,0.007895332590790387
Pennsylvania,2013,0.017744382626739854,0.019624079780282043,-0.001879697153542189
Rhode Island,2013,0.032765090020422945,0.034886090669644106,-0.002121000649221161
South Carolina,2013,0.03517496285431392,0.02758752824096557,0.007587434613348352
South Dakota,2013,0.036077689164083715,0.035103497329684506,0.0009741918343992087
Tennessee,2013,0.02905724148051494,0.025046757443894993,0.004010484036619948
Texas,2013,0.021007653939846476,0.015912832222296572,0.005094821717549904
Utah,2013,0.03428385867773719,0.03248237974951865,0.0018014789282185459
Vermont,2013,0.03731151087474407,0.035262260328216125,0.0020492505465279434
Virginia,2013,0.032626036544375174,0.02928380280687021,0.0033422337375049634
Washington,2013,0.030226236224971517,0.028017239166972057,0.00220899705799946
West Virginia,2013,0.028270333534109997,0.02654928135620982,0.001721052177900178
Wisconsin,2013,0.017751377216501815,0.019430277011660845,-0.00167889979515903
Wyoming,2013,0.04789445994586176,0.04899350118176154,-0.0010990412358997809
Alabama,2014,0.022520983711994184,0.023347122818140227,-0.0008261391061460434
Alaska,2014,0.052181035457511384,0.11939127039054737,-0.06721023493303599
Arizona,2014,0.03754229577911125,0.031081959012868338,0.006460336766242913
Arkansas,2014,0.02549910051539973,0.022385779237857575,0.0031133212775421547
California,2014,0.013405416187927885,0.0155717169466944,-0.0021663007587665144
Colorado,2014,0.041316651879326996,0.03323701555638521,0.008079636322941786
Connecticut,2014,0.023250344557259727,0.02696635622268273,-0.003716011665423003
Delaware,2014,0.03478270272608324,0.029693116143904384,0.005089586582178857
District of Columbia,2014,0.08670245734567197,0.09239475172562486,-0.005692294379952889
Florida,2014,0.027764051009961866,0.022576841404340672,0.005187209605621194
Georgia,2014,0.027491515438006205,0.02482976740988125,0.0026617480281249557
Hawaii,2014,0.041501665948134335,0.04365067672598724,-0.002149010777852907
Idaho,2014,0.04006836661566655,0.03556257661923281,0.004505789996433737
Illinois,2014,0.01645974935519504,0.025318447170514735,-0.008858697815319696
Indiana,2014,0.021461343691956992,0.02109525671529025,0.0003660869766667421
Iowa,2014,0.025813984416559754,0.025222375419458,0.0005916089971017523
Kansas,2014,0.03365224950672996,0.03267097424791134,0.000981275258818616
Kentucky,2014,0.024088884829773793,0.022708456534594915,0.0013804282951788774
Louisiana,2014,0.0212939792163065,0.018804762212281185,0.0024892170040253167
Maine,2014,0.02964774847112788,0.024577728330130475,0.005070020140997406
Maryland,2014,0.026523560643418844,0.03008872536499312,-0.003565164721574275
Massachusetts,2014,0.02196614874184764,0.023254610882787602,-0.0012884621409399617
Michigan,2014,0.015311986666746975,0.017740182577414557,-0.0024281959106675823
Minnesota,2014,0.019828905751093875,0.022592606800855293,-0.0027637010497614176
Mississippi,2014,0.02499511437765962,0.02460690450548239,0.0003882098721772302
Missouri,2014,0.025586617257949716,0.025819916188149585,-0.00023329893019986836
Montana,2014,0.037109415522506614,0.035395471476336836,0.0017139440461697783
Nebraska,2014,0.02813476227742816,0.023524448956153268,0.004610313321274893
Nevada,2014,0.046465467166992735,0.03745482600691547,0.009010641160077264
New Hampshire,2014,0.03148391120644084,0.03161541792983976,-0.0001315067233989206
New Jersey,2014,0.014582121559495523,0.02355157577512848,-0.008969454215632958
New Mexico,2014,0.033451785248829115,0.03417236132945997,-0.0007205760806308567
New York,2014,0.013240889338608435,0.021708066297765602,-0.008467176959157167
North Carolina,2014,0.029142450198084813,0.02553584520233786,0.003606604995746953
North Dakota,2014,0.053514716238693257,0.03870528480574659,0.01480943143294667
Ohio,2014,0.017160389924335086,0.01810568744384229,-0.0009452975195072058
Oklahoma,2014,0.029092663003150013,0.02699355484980388,0.0020991081533461332
Oregon,2014,0.03488110692420829,0.026639484029382463,0.008241622894825825
Pennsylvania,2014,0.018416183980120654,0.019991833199125147,-0.0015756492190044935
Rhode Island,2014,0.031192657041416497,0.03629078233674849,-0.0050981252953319935
South Carolina,2014,0.035971818947973494,0.025798113479516417,0.010173705468457077
South Dakota,2014,0.03348628864853054,0.03699991211422301,-0.003513623465692471
Tennessee,2014,0.028143637162952016,0.024924377560165096,0.0032192596027869197
Texas,2014,0.02025574870433193,0.016564308551366595,0.0036914401529653355
Utah,2014,0.031179671326996776,0.027847749191703505,0.0033319221352932707
Vermont,2014,0.036455263183324794,0.03309197020685722,0.0033632929764675773
Virginia,2014,0.03191576806280698,0.03236113856262989,-0.0004453704998229127
Washington,2014,0.031558583591152725,0.02876554729211268,0.002793036299040045
West Virginia,2014,0.026185777765158506,0.026688482348218964,-0.0005027045830604572
Wisconsin,2014,0.02069851584310999,0.020228750413923777,0.00046976542918621134
Wyoming,2014,0.04498582510358578,0.05732212413027615,-0.012336299026690374
Alabama,2015,0.023924530140896814,0.021108415328785518,0.0028161148121112964
Alaska,2015,0.04766837669778062,0.05560934136006473,-0.007940964662284104
Arizona,2015,0.03753648522177161,0.027818249758650944,0.009718235463120665
Arkansas,2015,0.027768730722540373,0.02621851302701697,0.0015502176955234023
California,2015,0.013302526287238558,0.016733778813555818,-0.00343125252631726
Colorado,2015,0.0421735906488831,0.03441998991548575,0.007753600733397349
Connecticut,2015,0.021659740905648744,0.029085723275980715,-0.007425982370331971
Delaware,2015,0.04754689238127703,0.0336544277352328,0.013892464646044232
District of Columbia,2015,0.0903536317921708,0.09854052375530484,-0.008186891963134033
Florida,2015,0.02914722813865705,0.022586133599019138,0.006561094539637911
Georgia,2015,0.028083887386907404,0.024935192025443493,0.003148695361463911
Hawaii,2015,0.03799753244411764,0.04308280144029769,-0.005085268996180052
Idaho,2015,0.045133016095479546,0.034744975547644476,0.01038804054783507
Illinois,2015,0.016513577063136643,0.0264418471571756,-0.009928270094038957
Indiana,2015,0.02255556790559285,0.021745800049076076,0.0008097678565167736
Iowa,2015,0.027888530254951735,0.026437977217818286,0.0014505530371334494
Kansas,2015,0.03176336398158323,0.0347698779223208,-0.0030065139407375735
Kentucky,2015,0.024447323971744657,0.02500859035192229,-0.0005612663801776337
Louisiana,2015,0.020234283256114885,0.02175767862487874,-0.0015233953687638566
Maine,2015,0.022864728975197427,0.028055194220113606,-0.005190465244916179
Maryland,2015,0.028462058929845862,0.030827746956191747,-0.002365688026345885
Massachusetts,2015,0.019721729169906735,0.02607648892570111,-0.0063547597557943765
Michigan,2015,0.014538064638172513,0.01839366963281508,-0.0038556049946425665
Minnesota,2015,0.02001467944888227,0.023574399885781475,-0.0035597204368992066
Mississippi,2015,0.023435021047285346,0.027449903369646193,-0.004014882322360847
Missouri,2015,0.02645663427300443,0.02596802171089507,0.0004886125621093619
Montana,2015,0.041936122928938085,0.03240351213542324,0.009532610793514848
Nebraska,2015,0.028327369160455956,0.02860723465728038,-0.000279865496824426
Nevada,2015,0.047560595616909174,0.035438892695472006,0.012121702921437168
New Hampshire,2015,0.04054711213917387,0.03224877560903874,0.008298336530135127
New Jersey,2015,0.016271526252086117,0.025629496757651117,-0.009357970505565
New Mexico,2015,0.027058770428272393,0.033143237500617664,-0.006084467072345272
New York,2015,0.013163451663248114,0.022890517128173485,-0.00972706546492537
North Carolina,2015,0.03128789015050747,0.024185772212698495,0.007102117937808978
North Dakota,2015,0.05718303320447986,0.04360909869694092,0.013573934507538937
Ohio,2015,0.01772099665724392,0.018636140019781387,-0.000915143362537469
Oklahoma,2015,0.028688393100172113,0.025758938211512723,0.0029294548886593906
Oregon,2015,0.035417009558141685,0.02778605147338056,0.007630958084761125
Pennsylvania,2015,0.01837620216152148,0.02081249210289559,-0.0024362899413741083
Rhode Island,2015,0.036690646105207156,0.029075451564562118,0.007615194540645038
South Carolina,2015,0.03519970313951451,0.028124816453461796,0.007074886686052714
South Dakota,2015,0.03178412915470626,0.03052352783706887,0.0012606013176373922
Tennessee,2015,0.030039132147312762,0.027311122799349573,0.0027280093479631895
Texas,2015,0.020412471955698418,0.016640268251244164,0.0037722037044542536
