,state,year,net total,pct_renters,median_age,pct_female,pct_age_20_34,pct_age_65_plus,pct_college_grads,pct_unemployed,pct_nilf,median_income
83,New York,2011,-0.005026984508131259,0.4213832,38,0.515703694,0.212209052,0.136782536,0.238992033,0.048908059,0.295816785,20000
84,North Carolina,2011,0.0039997686784578115,0.319761886,37,0.51447501,0.199636904,0.132196975,0.18510706,0.05679062,0.288171028,18500
85,North Dakota,2011,0.00828541040123882,0.270702351,36,0.495571197,0.229334203,0.14544136,0.177981144,0.017299965,0.242275548,24000
86,Ohio,2011,-0.0012858982208334355,0.297356741,39,0.511235518,0.191098342,0.142820009,0.174530581,0.053565494,0.286877701,20000
87,Oklahoma,2011,0.007187859157608108,0.305859832,36,0.504174065,0.205816788,0.136871398,0.161431546,0.036130743,0.296717032,18000
88,Oregon,2011,0.004416331779243322,0.372543008,38,0.505214937,0.205310421,0.142861091,0.206955883,0.060371,0.297285361,19500
89,Pennsylvania,2011,0.0014221131484815422,0.258872519,40,0.512630734,0.18871973,0.155917663,0.196621236,0.046697585,0.301766256,20500
90,Rhode Island,2011,-0.004231021258501791,0.345035014,39,0.516758267,0.201255205,0.145516702,0.224140161,0.052946727,0.272938699,22000
91,South Carolina,2011,0.007508178227514532,0.296339355,38,0.514350224,0.198401019,0.140229482,0.165524242,0.057170304,0.308638173,17100
92,South Dakota,2011,-0.0023809579133975828,0.275450744,37,0.502992421,0.198396519,0.146995081,0.17299128,0.026095704,0.249703306,22700
93,Tennessee,2011,0.0024795259956506242,0.305750284,38,0.512736687,0.198451343,0.137122692,0.166209328,0.051072774,0.306272823,17100
94,Texas,2011,0.004154116077937826,0.338899284,33,0.503878354,0.215969343,0.105218289,0.173113699,0.041535784,0.266620995,18000
95,Utah,2011,0.004079800638854821,0.273919485,29,0.496856123,0.240982429,0.09177942,0.176768107,0.040742973,0.228214532,18200
96,Vermont,2011,0.0034422529861261562,0.236278217,41,0.506264856,0.183108754,0.150816291,0.269153346,0.031357005,0.260788499,24400
97,Virginia,2011,0.0031705783447380474,0.305344562,37,0.508002985,0.208764193,0.125000062,0.248969074,0.038851474,0.267338998,24000
98,Washington,2011,0.002338741644841918,0.346960442,37,0.501445966,0.211319176,0.126151568,0.22192307,0.052546853,0.278835638,22800
99,West Virginia,2011,0.0021117467808654915,0.243500467,41,0.507182418,0.184251177,0.162354665,0.138197141,0.040034193,0.373298717,16300
100,Wisconsin,2011,0.0006553142802337882,0.282088362,38,0.504234154,0.195403279,0.13857323,0.186782479,0.044878581,0.259430926,22000
101,Wyoming,2011,-0.0023810498350205003,0.270826073,36,0.49094618,0.211006445,0.126644349,0.170991168,0.027888369,0.24547045,24000
102,Alabama,2012,-0.0010188528973543234,0.296895515,38,0.516373315,0.197853681,0.144396035,0.162862765,0.046366639,0.327651693,16800
103,Alaska,2012,-0.0632397139666791,0.318544423,34,0.475770696,0.226521603,0.083278533,0.187664485,0.043324962,0.236775223,26680
104,Arizona,2012,0.0036321281444892384,0.368070219,36,0.502520961,0.204572995,0.148555947,0.186901929,0.04606642,0.311146598,19000
105,Arkansas,2012,0.0039489244644689385,0.325351434,37,0.509116075,0.199359065,0.149764117,0.146343109,0.041428136,0.317611527,17400
106,California,2012,-0.002025235131908011,0.442941393,35,0.502887667,0.220300867,0.121110721,0.211184254,0.056237134,0.284010985,18500
107,Colorado,2012,0.008000895369922316,0.338642743,36,0.497861046,0.217595789,0.1175939,0.260385474,0.041422574,0.244126069,24000
108,Connecticut,2012,-0.002015475063700471,0.287321253,40,0.513594368,0.183517916,0.148718773,0.266426059,0.054395021,0.258721232,25700
109,Delaware,2012,0.010187987093047662,0.2837,39,0.513777244,0.194105935,0.154186276,0.211196914,0.042256393,0.287586196,23800
110,District of Columbia ,2012,-0.009566060307618321,0.528826249,33,0.528323341,0.314200179,0.112812597,0.405971315,0.059173872,0.261035895,30000
111,Florida,2012,0.005368033418316098,0.340695009,41,0.5110575,0.191524834,0.18152109,0.194597684,0.056178914,0.32876038,18000
112,Georgia,2012,0.0023698171058828613,0.34466552,35,0.510962309,0.208445611,0.114799124,0.190448133,0.052158455,0.288295248,17800
113,Hawaii,2012,-0.005101443923700273,0.389051169,38,0.493994526,0.217122156,0.151805664,0.213993549,0.036237541,0.27769977,24000
114,Idaho,2012,0.0023606176593402514,0.297262441,35,0.500826582,0.201629601,0.131758671,0.169450558,0.037495739,0.277642556,19000
115,Illinois,2012,-0.005432163974349636,0.301598609,37,0.510011491,0.208252031,0.131709003,0.220766268,0.053877613,0.267510119,21000
