state,year,net in,net out,net total,pct_renters,median_age,pct_female,pct_age_20_34,pct_age_65_plus,pct_college_grads,pct_unemployed,pct_nilf,median_income,home_value
North Carolina,2015,0.03128789015050747,0.024185772212698495,0.007102117937808978,0.342949209,38,0.512581449,0.199813658,0.150833901,0.208293263,0.033406115,0.302651392,20000,164049.29906085038
North Dakota,2015,0.05718303320447986,0.04360909869694092,0.013573934507538937,0.317238892,35,0.486606388,0.239989801,0.14262519,0.209295996,0.016679261,0.243817113,29000,227625.41341090502
Ohio,2015,0.01772099665724392,0.018636140019781387,-0.000915143362537469,0.309405849,39,0.510423327,0.195632588,0.158513214,0.190985896,0.032309165,0.2950429,22600,123219.62245184429
Oklahoma,2015,0.028688393100172113,0.025758938211512723,0.0029294548886593906,0.328117897,36,0.504541413,0.207750647,0.147192342,0.172501584,0.026046074,0.302920637,20000,123157.8641373674
Oregon,2015,0.035417009558141685,0.02778605147338056,0.007630958084761125,0.363361965,39,0.505759154,0.203264501,0.163957004,0.232600236,0.035312438,0.308215957,22000,266363.07189874206
Pennsylvania,2015,0.01837620216152148,0.02081249210289559,-0.0024362899413741083,0.27394893,40,0.511290175,0.194775584,0.170542667,0.216862515,0.031971248,0.307491668,23100,163401.34630151963
Rhode Island,2015,0.036690646105207156,0.029075451564562118,0.007615194540645038,0.35397492,39,0.516006847,0.211671328,0.159868711,0.241244422,0.03247095,0.289763873,24200,235712.63370806896
South Carolina,2015,0.03519970313951451,0.028124816453461796,0.007074886686052714,0.303367996,38,0.51297204,0.20018439,0.16220125,0.189389573,0.035582272,0.320715109,20000,155937.2597543956
South Dakota,2015,0.03178412915470626,0.03052352783706887,0.0012606013176373922,0.258538165,37,0.496707511,0.202797072,0.156668441,0.192748952,0.023617626,0.253509445,24600,174921.0466372373
Tennessee,2015,0.030039132147312762,0.027311122799349573,0.0027280093479631895,0.324078652,38,0.512765104,0.19989049,0.153551074,0.184661483,0.030303779,0.312764467,20000,154795.75623174783
Texas,2015,0.020412471955698418,0.016640268251244164,0.0037722037044542536,0.353364218,34,0.503778353,0.217383968,0.117214665,0.187808824,0.027233023,0.274366949,20000,169934.25527731693
Utah,2015,0.03303258473588623,0.02888599051278122,0.00414659422310501,0.278424083,30,0.495618874,0.232587063,0.102674338,0.191760859,0.019739185,0.234937593,21500,245512.437836537
Vermont,2015,0.03424781273388908,0.03590307548323577,-0.0016552627493466934,0.244846192,43,0.504795205,0.189921762,0.174953118,0.277663479,0.018578626,0.290884637,25200,237709.96301055522
Virginia,2015,0.033525328001118335,0.03273718255928071,0.000788145441837626,0.326172287,37,0.508680611,0.210105031,0.141376714,0.262730865,0.028129094,0.273310857,25000,243072.77841024497
Washington,2015,0.0325719201883782,0.02559704525951835,0.006974874928859849,0.34874541,37,0.500291687,0.215145116,0.144062264,0.242495939,0.02946369,0.289382626,25040,284566.5031299459
West Virginia,2015,0.023072203308233077,0.028389757108095066,-0.005317553799861988,0.256233298,42,0.507132368,0.180837773,0.182145166,0.146405239,0.029759323,0.383746681,18900,105813.36103906804
Wisconsin,2015,0.01865929388260855,0.019195123686894734,-0.0005358298042861843,0.289055898,39,0.502754908,0.195426814,0.156028837,0.206710334,0.022873209,0.264961308,25000,168596.71195454456
Wyoming,2015,0.06207369340806974,0.055149270435500344,0.006924422972569393,0.302524966,36,0.500331851,0.208052455,0.142171992,0.183053606,0.027537634,0.248348851,27000,227262.94311070026
Alabama,2016,0.02540889781265605,0.02093410029389723,0.00447479751875882,0.293535254,38,0.514630395,0.196826229,0.161242572,0.175159871,0.029509387,0.341213168,19000,141995.65024275729
Alaska,2016,0.04277358696840494,0.057167702707293044,-0.014394115738888102,0.318712646,33,0.474050201,0.245919228,0.101081826,0.197547089,0.041695984,0.234033433,30000,282720.9677976006
Arizona,2016,0.03988084361622199,0.028599808871102333,0.011281034745119656,0.360483971,37,0.502949256,0.204075532,0.168807678,0.199515053,0.030981215,0.322255103,20800,223590.28931494206
Arkansas,2016,0.024098791382028376,0.024488118334931697,-0.0003893269529033211,0.3313905,37,0.507825656,0.194355689,0.162529683,0.15482818,0.023436475,0.332294374,19400,136264.6809145743
California,2016,0.013272624942256277,0.017043124970426086,-0.0037705000281698098,0.444491171,36,0.503250865,0.221805254,0.136410056,0.230899722,0.03239591,0.291599313,21480,454290.8767199519
Colorado,2016,0.0407637274033911,0.035681658409614556,0.005082068993776542,0.32696242,36,0.496427157,0.221339236,0.134292565,0.2812393,0.02532296,0.256601111,27600,329993.3853179806
Connecticut,2016,0.021341379055260127,0.031782856274295106,-0.010441477219034979,0.306847121,40,0.511831838,0.192008169,0.161128683,0.284001016,0.034411478,0.270673561,30000,247364.0738812347
Delaware,2016,0.03545372810811901,0.030850045295105124,0.004603682813013887,0.282823127,40,0.518316501,0.196076949,0.17522333,0.230120843,0.028209208,0.313715975,25800,252751.6081567573
District of Columbia,2016,0.08653585745704753,0.09049850230501671,-0.003962644847969182,0.540426032,33,0.525580986,0.31144795,0.115965178,0.429713581,0.038812631,0.260632441,35000,526650.3753154882
Florida,2016,0.029655455522429028,0.021675666022958947,0.007979789499470081,0.356657502,42,0.51133289,0.19004636,0.198634863,0.211789832,0.028789994,0.343696784,20000,199586.67367127808
Georgia,2016,0.029965048635246457,0.025728454721836456,0.004236593913410001,0.364542556,36,0.513611101,0.205525097,0.131828525,0.210092828,0.02933522,0.291345287,20100,167526.6737229828
Hawaii,2016,0.04058051789105256,0.04580854558457174,-0.005228027693519176,0.388614525,39,0.496337213,0.213198353,0.170815725,0.239704821,0.021177314,0.277038998,28000,546385.6191542086
Idaho,2016,0.04300871041186328,0.034018871043397056,0.008989839368466222,0.289372839,36,0.50166831,0.198267524,0.152627232,0.182420951,0.022131255,0.294167449,20000,208393.93714627976
Illinois,2016,0.016098523313552195,0.027142660869684074,-0.01104413755613188,0.309636755,37,0.509116287,0.206122639,0.146417552,0.242548728,0.032854565,0.277618574,24100,176709.96226306012
Indiana,2016,0.02224292517459343,0.021078478595547363,0.0011644465790460676,0.285789967,37,0.508123936,0.200975026,0.149465714,0.180449938,0.024542394,0.28534236,22900,130561.57844868112
Iowa,2016,0.02526827545303416,0.024974571015628447,0.00029370443740571114,0.253557844,38,0.503521397,0.197854463,0.164375586,0.204373762,0.020170715,0.260049389,26000,143011.10076488298
Kansas,2016,0.030945515617504648,0.03248734837563258,-0.0015418327581279319,0.305793129,36,0.501931868,0.203499893,0.149656604,0.226145732,0.022802687,0.260932436,24750,135040.18047588132
Kentucky,2016,0.025822690938843793,0.023731113195137155,0.0020915777437066387,0.30421499,38,0.508774674,0.194803936,0.154625878,0.16591578,0.027231397,0.326768424,20000,122911.06248081541
Louisiana,2016,0.01847040766829899,0.019985297723271588,-0.0015148900549725973,0.328851311,36,0.510546032,0.211289955,0.144120277,0.161832989,0.032869282,0.319241911,18000,179263.61838012925
Maine,2016,0.029250537409459012,0.025187822028363324,0.004062715381095688,0.239434494,44,0.512229633,0.173412423,0.193027453,0.2309905,0.022809222,0.314184452,23500,199876.45968628573
Maryland,2016,0.02666530634335345,0.03137039288754827,-0.004705086544194818,0.314599962,38,0.516347439,0.202723302,0.145846377,0.281436037,0.028818836,0.255359849,30000,288148.2777917225
Massachusetts,2016,0.022149478440327327,0.026399305901227643,-0.004249827460900316,0.324096634,39,0.514124211,0.212447656,0.158025275,0.315411813,0.029179001,0.269657224,29900,374406.8377317193
Michigan,2016,0.01588318946068851,0.01602086357981675,-0.00013767411912823935,0.267030207,39,0.508445252,0.197627892,0.161902541,0.201540546,0.030579656,0.311943535,22000,140133.65071889487
Minnesota,2016,0.020401202073936784,0.022366368934067748,-0.001965166860130964,0.244991623,38,0.503053469,0.201153561,0.150640622,0.245197784,0.02083587,0.239898644,30000,213312.04588758535
Mississippi,2016,0.0219034990906722,0.02620230086957874,-0.004298801778906541,0.313699215,37,0.518267984,0.196348879,0.150353696,0.149136455,0.033732768,0.33751806,17000,132354.45045695463
Missouri,2016,0.027034961679063926,0.026544378123938468,0.0004905835551254588,0.305269161,38,0.507689151,0.197108157,0.16013852,0.201849992,0.024194978,0.295100771,23000,144445.0674068796
Montana,2016,0.036575541685950924,0.03077267479542071,0.005802866890530216,0.283294325,40,0.497154011,0.194568929,0.177837356,0.221889268,0.025083452,0.297148256,22250,227812.49627513567
Nebraska,2016,0.02732254657095349,0.025395194520254724,0.0019273520506987649,0.303177678,36,0.501790662,0.203542941,0.150127208,0.221029555,0.020188599,0.237397725,26600,153616.37782564547
Nevada,2016,0.04055354162001594,0.03092899075584177,0.009624550864174169,0.437373344,37,0.498549008,0.207737398,0.149969831,0.164238597,0.033385056,0.292224847,23000,229094.50343214782
New Hampshire,2016,0.03967699895847594,0.03487581967119137,0.004801179287284574,0.25395654,42,0.500007867,0.186610514,0.17014975,0.276038838,0.02230632,0.263088255,30000,240519.51389229935
